'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section001\',	0.607467,	-nan(ind),	1.41369,	1.38414,	1.38578,	-nan(ind),	-nan(ind),	342.46,	283,	283,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section002\',	0.617643,	-nan(ind),	-nan(ind),	-nan(ind),	1.43956,	-nan(ind),	-nan(ind),	447.596,	283,	283,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section003\',	0.622627,	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	579.237,	283,	283,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section004\',	0.61588,	1.36783,	-nan(ind),	1.35759,	-nan(ind),	-nan(ind),	-nan(ind),	412.361,	283,	283,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section005\',	0.622093,	-nan(ind),	1.43761,	1.37908,	1.37442,	-nan(ind),	-nan(ind),	360.715,	283,	284,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section006\',	0.609487,	1.35577,	1.36098,	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	418.682,	284,	283,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section007\',	0.626155,	-nan(ind),	-nan(ind),	1.40033,	1.38517,	-nan(ind),	-nan(ind),	372.372,	284,	283,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section008\',	0.619059,	1.39408,	1.40489,	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	364.268,	283,	284,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL43_C5_1c5bar_section009\',	0.615719,	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	673.74,	284,	284,	184
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section001\',	0.49338,	-nan(ind),	-nan(ind),	1.5802,	1.59555,	-nan(ind),	-nan(ind),	601.804,	283,	283,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section002\',	0.487909,	-nan(ind),	-nan(ind),	-nan(ind),	1.63376,	-nan(ind),	-nan(ind),	401.423,	283,	283,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section003\',	0.486869,	-nan(ind),	-nan(ind),	-nan(ind),	1.55803,	-nan(ind),	-nan(ind),	624.677,	283,	283,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section004\',	0.488236,	-nan(ind),	1.60031,	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	618.102,	283,	283,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section005\',	0.48728,	-nan(ind),	1.68178,	1.6324,	1.64039,	-nan(ind),	-nan(ind),	291.653,	283,	284,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section006\',	0.48718,	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	2.47806,	-nan(ind),	843.804,	284,	283,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section007\',	0.483963,	-nan(ind),	-nan(ind),	-nan(ind),	1.58257,	-nan(ind),	-nan(ind),	757.481,	284,	283,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section008\',	0.489739,	-nan(ind),	-nan(ind),	1.67259,	-nan(ind),	-nan(ind),	-nan(ind),	578.063,	283,	284,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_1c5bar_section009\',	0.487247,	1.59154,	1.58371,	1.6573,	1.64801,	-nan(ind),	-nan(ind),	274.768,	284,	284,	211
'c:\!\battery\battery\code\python\..\..\data\graphiteSections\dataset\SL44_C4_4bar_section001\',	0.411391,	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	-nan(ind),	231.069,	283,	283,	91
