path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section001',	0.59871,	X_NEG,	1.29951,	172.548,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section001',	0.59871,	Y_NEG,	1.29929,	215.978,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section001',	0.59871,	Z_NEG,	1.33908,	125.139,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section002',	0.595429,	X_NEG,	1.30744,	206.824,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section002',	0.595429,	Y_NEG,	1.327,	183.307,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section002',	0.595429,	Z_NEG,	1.28971,	123.049,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section003',	0.609158,	X_NEG,	1.2879,	181.262,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section003',	0.609158,	Y_NEG,	1.29775,	161.575,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section003',	0.609158,	Z_NEG,	1.31558,	126.365,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section004',	0.607397,	X_NEG,	1.30585,	172.551,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section004',	0.607397,	Y_NEG,	1.30627,	180.765,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section004',	0.607397,	Z_NEG,	1.32067,	127.786,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section005',	0.638912,	X_NEG,	1.27025,	153.362,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section005',	0.638912,	Y_NEG,	1.29101,	194.656,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section005',	0.638912,	Z_NEG,	1.26502,	113.438,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section006',	0.608311,	X_NEG,	1.31962,	154.772,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section006',	0.608311,	Y_NEG,	1.28619,	141.739,	296,	296,	155,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section006',	0.608311,	Z_NEG,	1.30846,	126.169,	296,	296,	155,	BICGSTABCPU
