path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section001',	0.59871,	X_NEG,	1.29949,	14.901,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section001',	0.59871,	Y_NEG,	1.30321,	15.9252,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section001',	0.59871,	Z_NEG,	1.33996,	10.3556,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section002',	0.595429,	X_NEG,	1.3094,	16.6254,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section002',	0.595429,	Y_NEG,	1.32598,	14.0527,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section002',	0.595429,	Z_NEG,	1.28859,	11.5034,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section003',	0.609158,	X_NEG,	1.28143,	14.4529,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section003',	0.609158,	Y_NEG,	1.29287,	14.8301,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section003',	0.609158,	Z_NEG,	1.31704,	10.9763,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section004',	0.607397,	X_NEG,	1.30927,	13.6922,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section004',	0.607397,	Y_NEG,	1.30978,	16.0226,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section004',	0.607397,	Z_NEG,	1.32213,	10.2306,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section005',	0.638912,	X_NEG,	1.26844,	13.5316,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section005',	0.638912,	Y_NEG,	1.29166,	15.0821,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section005',	0.638912,	Z_NEG,	1.26604,	8.89282,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section006',	0.608311,	X_NEG,	1.32241,	12.3802,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section006',	0.608311,	Y_NEG,	1.28677,	12.817,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section006',	0.608311,	Z_NEG,	1.30758,	11.8573,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section007',	0.619907,	X_NEG,	1.31207,	15.3036,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section007',	0.619907,	Y_NEG,	1.29824,	16.2011,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section007',	0.619907,	Z_NEG,	1.30467,	11.4321,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section008',	0.56109,	X_NEG,	1.39402,	20.166,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section008',	0.56109,	Y_NEG,	1.36987,	18.8753,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section008',	0.56109,	Z_NEG,	1.32352,	13.0454,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section009',	0.613137,	X_NEG,	1.31136,	14.6721,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section009',	0.613137,	Y_NEG,	1.29661,	13.2745,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_1c5bar_section009',	0.613137,	Z_NEG,	1.3287,	11.6467,	296,	296,	155,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section001',	0.567155,	X_NEG,	1.35094,	13.9305,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section001',	0.567155,	Y_NEG,	1.343,	12.7327,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section001',	0.567155,	Z_NEG,	1.37432,	11.3527,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section002',	0.527865,	X_NEG,	1.37631,	15.3473,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section002',	0.527865,	Y_NEG,	1.37605,	16.2825,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section002',	0.527865,	Z_NEG,	1.41509,	9.84689,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	X_NEG,	1.30939,	15.4513,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	Y_NEG,	1.30556,	15.1374,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	Z_NEG,	1.34887,	11.0659,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	X_NEG,	1.43469,	17.8254,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Y_NEG,	1.38269,	16.5905,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Z_NEG,	1.44441,	9.82705,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	X_NEG,	1.34676,	14.4782,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Y_NEG,	1.37434,	14.2791,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Z_NEG,	1.37334,	10.5709,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	X_NEG,	1.38679,	19.5802,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Y_NEG,	1.34662,	19.9996,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Z_NEG,	1.37957,	11.631,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	X_NEG,	1.401,	12.0449,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	Y_NEG,	1.35094,	15.5721,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	Z_NEG,	1.42171,	11.6618,	296,	296,	153,	BICGSTABGPU
