path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	X_NEG,	1.3093,	14.061,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	Y_NEG,	1.31346,	29.7811,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	Z_NEG,	1.34848,	30.8315,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	X_NEG,	1.42915,	16.6006,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Y_NEG,	1.37874,	12.9966,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Z_NEG,	1.4431,	14.347,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	X_NEG,	1.40249,	12.8101,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Y_NEG,	0.932778,	10.5792,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Z_NEG,	1.38411,	10.6211,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	X_NEG,	1.39569,	14.0283,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Y_NEG,	1.35466,	18.9246,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Z_NEG,	1.37778,	29.0736,	296,	296,	153,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	X_NEG,	1.3488,	14.4691,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	Y_NEG,	1.38243,	24.304,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	Z_NEG,	1.35781,	12.4788,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	X_NEG,	1.29212,	19.8071,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	Y_NEG,	1.30282,	27.5819,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	Z_NEG,	1.3157,	24.5243,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	X_NEG,	1.36288,	12.2337,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	Y_NEG,	1.34177,	12.387,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	Z_NEG,	1.35504,	12.5093,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	X_NEG,	1.3785,	30.5344,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	Y_NEG,	1.36201,	118.652,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	Z_NEG,	1.36051,	14.6498,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	X_NEG,	1.3655,	35.9959,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	Y_NEG,	1.37904,	46.0487,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	Z_NEG,	1.33719,	29.9515,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	X_NEG,	1.37885,	28.4695,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	Y_NEG,	1.35857,	15.6214,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	Z_NEG,	1.34237,	16.8131,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	X_NEG,	1.3436,	47.8584,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	Y_NEG,	1.34896,	26.4923,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	Z_NEG,	1.326,	33.1857,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	X_NEG,	1.3558,	29.5438,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	Y_NEG,	1.3345,	12.6144,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	Z_NEG,	1.3088,	32.123,	316,	316,	124,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	X_NEG,	1.3745,	15.1892,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	Y_NEG,	1.39702,	13.5347,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	Z_NEG,	1.4416,	13.2067,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	X_NEG,	1.3872,	53.0754,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	Y_NEG,	1.39725,	14.855,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	Z_NEG,	1.41326,	52.2363,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	X_NEG,	1.34602,	19.2025,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	Y_NEG,	1.37404,	17.6098,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	Z_NEG,	1.39195,	57.6531,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	X_NEG,	1.36336,	31.7404,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	Y_NEG,	1.36282,	13.4433,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	Z_NEG,	1.3981,	21.8226,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	X_NEG,	1.37142,	40.2988,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	Y_NEG,	1.37903,	41.1071,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section005',	0.533648,	Z_NEG,	1.38815,	51.966,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	X_NEG,	1.36379,	38.5938,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	Y_NEG,	1.39504,	14.7801,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section006',	0.532308,	Z_NEG,	1.38979,	16.9166,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	X_NEG,	1.40259,	13.593,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	Y_NEG,	-0.352231,	12.0277,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section007',	0.562387,	Z_NEG,	0.242893,	13.1704,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	X_NEG,	1.40905,	15.031,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	Y_NEG,	1.42383,	18.9571,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section008',	0.50607,	Z_NEG,	1.44959,	13.2139,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	X_NEG,	-0.391683,	12.261,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	Y_NEG,	1.37929,	34.2765,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section009',	0.527592,	Z_NEG,	1.42354,	53.9717,	296,	296,	175,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	X_NEG,	1.66903,	13.4637,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	Y_NEG,	1.60295,	15.7793,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section001',	0.387145,	Z_NEG,	0.508297,	12.894,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	X_NEG,	1.61264,	21.3774,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	Y_NEG,	1.64329,	17.1248,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section002',	0.37865,	Z_NEG,	1.75265,	31.2926,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	X_NEG,	1.52626,	26.7431,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	Y_NEG,	1.55333,	17.1559,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section003',	0.413961,	Z_NEG,	1.68448,	32.6681,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	X_NEG,	1.55121,	17.3299,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	Y_NEG,	1.56508,	13.0986,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section004',	0.410739,	Z_NEG,	1.69818,	24.8757,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	X_NEG,	-1.0988,	13.3462,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	Y_NEG,	1.83566,	10.436,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section005',	0.395491,	Z_NEG,	1.58791,	12.4893,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section006',	0.403428,	X_NEG,	1.55649,	25.3094,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section006',	0.403428,	Y_NEG,	1.53285,	14.4163,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section006',	0.403428,	Z_NEG,	1.72461,	19.2073,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section007',	0.405431,	X_NEG,	1.61231,	15.9793,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section007',	0.405431,	Y_NEG,	1.57387,	14.4398,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section007',	0.405431,	Z_NEG,	1.72114,	14.1865,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section008',	0.383958,	X_NEG,	0.390263,	13.3119,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section008',	0.383958,	Y_NEG,	1.83447,	10.4185,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section008',	0.383958,	Z_NEG,	1.45653,	12.8412,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section009',	0.382139,	X_NEG,	0.765688,	12.2468,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section009',	0.382139,	Y_NEG,	1.88961,	10.4201,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_4bar_section009',	0.382139,	Z_NEG,	-3.23788,	12.3819,	296,	296,	170,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section001',	0.56916,	X_NEG,	1.36104,	14.8053,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section001',	0.56916,	Y_NEG,	1.3316,	11.8684,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section001',	0.56916,	Z_NEG,	1.34421,	11.7531,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section002',	0.588815,	X_NEG,	1.32196,	29.5993,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section002',	0.588815,	Y_NEG,	1.31616,	23.3876,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section002',	0.588815,	Z_NEG,	1.32344,	36.3312,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section003',	0.544683,	X_NEG,	1.38475,	38.0725,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section003',	0.544683,	Y_NEG,	1.37948,	28.6796,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section003',	0.544683,	Z_NEG,	1.36552,	10.6955,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section004',	0.555277,	X_NEG,	1.37973,	41.2554,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section004',	0.555277,	Y_NEG,	1.36708,	46.6501,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section004',	0.555277,	Z_NEG,	1.34744,	30.9269,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section005',	0.558893,	X_NEG,	1.38313,	21.13,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section005',	0.558893,	Y_NEG,	1.35464,	25.4856,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section005',	0.558893,	Z_NEG,	1.35628,	42.9379,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section006',	0.542751,	X_NEG,	-0.0038208,	9.47692,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section006',	0.542751,	Y_NEG,	0.00551095,	8.55009,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section006',	0.542751,	Z_NEG,	-0.00241683,	8.5495,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section007',	0.556011,	X_NEG,	1.39054,	20.0943,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section007',	0.556011,	Y_NEG,	1.38212,	14.9005,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section007',	0.556011,	Z_NEG,	1.36359,	21.3958,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section008',	0.543606,	X_NEG,	1.42104,	30.6813,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section008',	0.543606,	Y_NEG,	1.37905,	25.4628,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section008',	0.543606,	Z_NEG,	1.37182,	27.7685,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section009',	0.577241,	X_NEG,	1.38789,	15.8916,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section009',	0.577241,	Y_NEG,	1.34028,	20.2077,	296,	296,	140,	MGGPU
'D:\!battery\datasetNMC\SL48_NMC4_UC_section009',	0.577241,	Z_NEG,	1.3301,	29.9805,	296,	296,	140,	MGGPU
